Key,Student_ID,Question_ID,Source_Data,Chosen_Option,Reasoning_ID,Reasoning,Score
Pulley9-10-99_q3a,Pulley9-10-99,q3a,Pulley_Post_Y2,1,q3b,"I said that the distance would increase because when you use a movable pulley the force always goes down... a single fixed pulley does not reduce the force, and when the force goes down, the distance goes up...",2
Pulley9-10-99_q3c,Pulley9-10-99,q3c,Pulley_Post_Y2,2,q3d,"The applied force required would go down, because the distance is going up... we also learned that the single fixed pulley doesn't reduce force, so a single movable does, so that woould mean that the force would automatically decrease anyway...",2
Pulley9-10-99_q4,Pulley9-10-99,q4,Pulley_Post_Y2,1,q4a,"I say this, because when you have a rusty pulley, there is much more friction, so causes the force to go up, which cause the work to go up... A well oiled pulley will still have friction becasue there is never 0 friction, but there will be much less so that means the applied force will be much less...",2
Pulley9-10-99_q7a1,Pulley9-10-99,q7a1,Pulley_Post_Y2,2,q7a2,"The applied force needed would decrease because the distance is increasing, so that means the applied force has to decrease... We also learned that a single fixed pulley doesn't reduce force and that all of the other pulley systems do reduce force...",2
Pulley9-10-99_q7b1,Pulley9-10-99,q7b1,Pulley_Post_Y2,3,q7b2,"The work done would stay the same becasue the distance pulled is less on the single fixed but more on the movable and on the fixed there is more force, but on the movable there is less force so it all cancels each other out... Here is an example, W= Fxd... 4=4x1 for the fixed, but for the movable it would be 4=1x4 so it all ends up being the same...",2
Pulley9-10-99_q9,Pulley9-10-99,q9,Pulley_Post_Y2,3,q9a,"Jane andd Mary are doing the same amount of work because the distance for Mary is more, but here force is less... And Jane's distance is less, but force is more... This shows that they end up canceling each other out and so they are the same though one is applying less force",2
Pulley9-10-99_q10,Pulley9-10-99,q10,Pulley_Post_Y2,2,q10a,A rusty pulley that needs to be oiled will require more force because there is a lot more friction... When the force goes up and the distance stays the same the work will always go up.... ,2
Pulley9-10-99_q11,Pulley9-10-99,q11,Pulley_Post_Y2,2,q11a,I said lifting the box to 2 meters becasue the distance pulled is going up (as you can see in the picture) but the force is staying the same since nothing else changed so that means that the work will go up... ,2
Pulley9-10-99_q13,Pulley9-10-99,q13,Pulley_Post_Y2,4,q13a,I say the double compound becasue MA is distance pulled divided by distance object moved so that means since they all are lifted to the same height its the one with the most pulley because that is the one you have to pull the farthest... ,2
Pulley9-10-99_q14,Pulley9-10-99,q14,Pulley_Post_Y2,2,q14a,"I said this becasue the distance pulled willl go up for set up B and since the moved distance is most likely the same, that will mean the numerator is much greater than the denominator... ",0
Pulley9-10-98_q3a,Pulley9-10-98,q3a,Pulley_Post_Y2,1,q3b,adding a nother pully would make it need to be pulled father to lift but it would be easyer,0
Pulley9-10-98_q3c,Pulley9-10-98,q3c,Pulley_Post_Y2,2,q3d,it would increas the ma making the applied force decreas,2
Pulley9-10-98_q4,Pulley9-10-98,q4,Pulley_Post_Y2,1,q4a,it would slide easyer and make it easyer to slide the string and it also matter in how many pully were used and if they were compound,1
Pulley9-10-98_q7a1,Pulley9-10-98,q7a1,Pulley_Post_Y2,1,q7a2,the single movable pullys have less ma making the applied force increas,0
Pulley9-10-98_q7b1,Pulley9-10-98,q7b1,Pulley_Post_Y2,1,q7b2,it could also be a very rusty pully making it harder to pull the watermelen up,0
Pulley9-10-98_q9,Pulley9-10-98,q9,Pulley_Post_Y2,4,q9a,the pully could be a double triple or single compound increasing the ma,0
Pulley9-10-98_q10,Pulley9-10-98,q10,Pulley_Post_Y2,2,q10a,it would get stuck and be hard to pull,1
Pulley9-10-98_q11,Pulley9-10-98,q11,Pulley_Post_Y2,2,q11a,it is a higher hight making the work go up because you would do double the work,1
Pulley9-10-98_q13,Pulley9-10-98,q13,Pulley_Post_Y2,4,q13a,the double compound has more ma because if the single compound has 3 ma the double has 6,1
Pulley9-10-98_q14,Pulley9-10-98,q14,Pulley_Post_Y2,2,q14a,if 1 pully has 1 ma then 2 pullys will have 2 ma,0
Pulley9-10-97_q3a,Pulley9-10-97,q3a,Pulley_Post_Y2,3,q3b,you are pulling it the same distance and the load is staying the same.,0
Pulley9-10-97_q3c,Pulley9-10-97,q3c,Pulley_Post_Y2,2,q3d,with pulling it straight up you would not have to pull down you would pull harder than if you were pulling up.,0
Pulley9-10-97_q4,Pulley9-10-97,q4,Pulley_Post_Y2,1,q4a,the pulley is that is oiled 1 you dont have to pull hard to get it to work and with a pulley that is rusted you have to pull hard just to get it started and then have to keep pulling hard to get it to work.,1
Pulley9-10-97_q7a1,Pulley9-10-97,q7a1,Pulley_Post_Y2,3,q7a2,you are lifting the load the same height and the load is staying the same.,0
Pulley9-10-97_q7b1,Pulley9-10-97,q7b1,Pulley_Post_Y2,3,q7b2,you are lifting it the same height.,3
Pulley9-10-97_q9,Pulley9-10-97,q9,Pulley_Post_Y2,1,q9a,you have it straight up and the other one you have it more at a slant.,0
Pulley9-10-97_q10,Pulley9-10-97,q10,Pulley_Post_Y2,2,q10a,you have to pull hard.,1
Pulley9-10-97_q11,Pulley9-10-97,q11,Pulley_Post_Y2,2,q11a,more work means good so then lifting it two meters is good.,0
Pulley9-10-97_q13,Pulley9-10-97,q13,Pulley_Post_Y2,4,q13a,with more supporting strands  more ma.,2
Pulley9-10-97_q14,Pulley9-10-97,q14,Pulley_Post_Y2,3,q14a,they have the same number of support strands.,2
Pulley9-10-96_q3a,Pulley9-10-96,q3a,Pulley_Post_Y2,1,q3b,"The single movable would require less force, but more distance.",2
Pulley9-10-96_q3c,Pulley9-10-96,q3c,Pulley_Post_Y2,2,q3d,Single movables require less applied force and more MA.,2
Pulley9-10-96_q4,Pulley9-10-96,q4,Pulley_Post_Y2,1,q4a,"A well-oiled pulley would reduce friction, reducing force, while a rusty pulley would increase it.",2
Pulley9-10-96_q7a1,Pulley9-10-96,q7a1,Pulley_Post_Y2,2,q7a2,"Without friction, it would decrease even more.",1
Pulley9-10-96_q7b1,Pulley9-10-96,q7b1,Pulley_Post_Y2,3,q7b2,"Well, when applied force is reduced, the distance increases, so it should be about the same.",2
Pulley9-10-96_q9,Pulley9-10-96,q9,Pulley_Post_Y2,1,q9a,"The compound pulley would require less work because, even though the distance is the same, the force would be reduced on the pulley.",0
Pulley9-10-96_q10,Pulley9-10-96,q10,Pulley_Post_Y2,1,q10a,"a well-oiled pulley would reduce the force, reducing the work.",2
Pulley9-10-96_q11,Pulley9-10-96,q11,Pulley_Post_Y2,2,q11a,The distance is greater.,1
Pulley9-10-96_q13,Pulley9-10-96,q13,Pulley_Post_Y2,4,q13a,"while using a double compound, the distance you pull the string is greatest, giving you the most MA.",2
Pulley9-10-96_q14,Pulley9-10-96,q14,Pulley_Post_Y2,1,q14a,"A single fixed pulley would have the string pulled farther than a double fixed, giving more MA.",0
Pulley9-10-95_q3a,Pulley9-10-95,q3a,Pulley_Post_Y2,3,q3b,"the distance pulled will stay the same, you are just changing the pulley.",0
Pulley9-10-95_q3c,Pulley9-10-95,q3c,Pulley_Post_Y2,2,q3d,The applied force will decrease because a moveable pulley requires less applied force.,1
Pulley9-10-95_q4,Pulley9-10-95,q4,Pulley_Post_Y2,4,q4a,we didnt learn about rusty/oiled pulleys.,0
Pulley9-10-95_q7a1,Pulley9-10-95,q7a1,Pulley_Post_Y2,2,q7a2,this will decrease becasue the applied force for a movable pulley is less than a fixed.,1
Pulley9-10-95_q7b1,Pulley9-10-95,q7b1,Pulley_Post_Y2,3,q7b2,the work will stay the same because work is always the same unless friction is involved.,1
Pulley9-10-95_q9,Pulley9-10-95,q9,Pulley_Post_Y2,3,q9a,work is always the same when there is no friciton.,1
Pulley9-10-95_q10,Pulley9-10-95,q10,Pulley_Post_Y2,4,q10a,we did not learn about this. ,0
Pulley9-10-95_q11,Pulley9-10-95,q11,Pulley_Post_Y2,2,q11a,"there is more work done in this becasue he is pulling it a higher distance, but with the smae pulley.",1
Pulley9-10-95_q13,Pulley9-10-95,q13,Pulley_Post_Y2,4,q13a,this pulley will give the most machanical advantage because since it is a compound that means that it has the most string.....ect.,0
Pulley9-10-95_q14,Pulley9-10-95,q14,Pulley_Post_Y2,2,q14a,pulley B will give off more machanical advantage because it has more than one pulley.,0
Pulley9-10-94_q3a,Pulley9-10-94,q3a,Pulley_Post_Y2,3,q3b,they are both pulleys,0
Pulley9-10-94_q3c,Pulley9-10-94,q3c,Pulley_Post_Y2,2,q3d,in the science ex. we found out that a moveable pulley has lest applied force,1
Pulley9-10-94_q4,Pulley9-10-94,q4,Pulley_Post_Y2,1,q4a,"with the rust there will be more friction acoring to it and since the well-oiled pulley doesn't ruff stuff on it, it will be easyer",2
Pulley9-10-94_q7a1,Pulley9-10-94,q7a1,Pulley_Post_Y2,2,q7a2,its easyer to lift a watermelon with a single moveable pulley,1
Pulley9-10-94_q7b1,Pulley9-10-94,q7b1,Pulley_Post_Y2,3,q7b2,they're doing the same job,2
Pulley9-10-94_q9,Pulley9-10-94,q9,Pulley_Post_Y2,3,q9a,they are doing the same job,2
Pulley9-10-94_q10,Pulley9-10-94,q10,Pulley_Post_Y2,3,q10a,they are doing tha same job,0
Pulley9-10-94_q11,Pulley9-10-94,q11,Pulley_Post_Y2,2,q11a,it went heigher than the other pulley,1
Pulley9-10-94_q13,Pulley9-10-94,q13,Pulley_Post_Y2,4,q13a,it has the most string which means more distance,1
Pulley9-10-94_q14,Pulley9-10-94,q14,Pulley_Post_Y2,2,q14a,has more string which means more distance,0
Pulley9-10-93_q3a,Pulley9-10-93,q3a,Pulley_Post_Y2,1,q3b,It would increase because with a fized pulley nothing changed and with a movable pulley the numbers do change and the distance would increase. ,1
Pulley9-10-93_q3c,Pulley9-10-93,q3c,Pulley_Post_Y2,2,q3d,The applied force would decrease because it would have more MA and it would have less work because with a fixed pulley the numbers do not change and with a movable pulley it changes and the numbers get better.,1
Pulley9-10-93_q4,Pulley9-10-93,q4,Pulley_Post_Y2,1,q4a,It will move easier so it will have the least amount of force.,1
Pulley9-10-93_q7a1,Pulley9-10-93,q7a1,Pulley_Post_Y2,1,q7a2,The applied force would decrease because it would have more MA and it would have less work because with a fixed pulley the numbers do not change and with a movable pulley it changes and the numbers get better.,0
Pulley9-10-93_q7b1,Pulley9-10-93,q7b1,Pulley_Post_Y2,2,q7b2,The work would decrease because the force decreased and the MA would increase causing there to be less work required to left the watermelon to the treehouse.,0
Pulley9-10-93_q9,Pulley9-10-93,q9,Pulley_Post_Y2,1,q9a,Jane is doing more work because when usong a pulley it uses the least amount of force so it would be easier and there wouldnt be as much work to do so jane is doing more work.,0
Pulley9-10-93_q10,Pulley9-10-93,q10,Pulley_Post_Y2,3,q10a,when you are using a fixed pulley the numbers do not change.,0
Pulley9-10-93_q11,Pulley9-10-93,q11,Pulley_Post_Y2,2,q11a,He did more work because he had to lift it higher up,1
Pulley9-10-93_q13,Pulley9-10-93,q13,Pulley_Post_Y2,4,q13a,It will give the most MA because it has the least amount of force.,1
Pulley9-10-93_q14,Pulley9-10-93,q14,Pulley_Post_Y2,2,q14a,It will require the least amount of force so it will have a greater mechanical advantage ,0
Pulley9-10-92_q3a,Pulley9-10-92,q3a,Pulley_Post_Y2,3,q3b,same amount of string ,0
Pulley9-10-92_q3c,Pulley9-10-92,q3c,Pulley_Post_Y2,2,q3d,the applied force would decrease,1
Pulley9-10-92_q4,Pulley9-10-92,q4,Pulley_Post_Y2,1,q4a,because the oil helps the pully move if there was no oil then the pulley wouldent move,1
Pulley9-10-92_q7a1,Pulley9-10-92,q7a1,Pulley_Post_Y2,2,q7a2,i think it will decrease because you will have to pull the pulley up ,0
Pulley9-10-92_q7b1,Pulley9-10-92,q7b1,Pulley_Post_Y2,3,q7b2,it will stay the same because the load does not change,2
Pulley9-10-92_q9,Pulley9-10-92,q9,Pulley_Post_Y2,3,q9a,it will be the same because the load does not change,2
Pulley9-10-92_q10,Pulley9-10-92,q10,Pulley_Post_Y2,3,q10a,it will be the same because the load does not change,0
Pulley9-10-92_q11,Pulley9-10-92,q11,Pulley_Post_Y2,3,q11a,it will be the same because the load does not change,0
Pulley9-10-92_q13,Pulley9-10-92,q13,Pulley_Post_Y2,4,q13a,the mechanical advantage will be the most because all the strings balance the weight evenly  ,3
Pulley9-10-92_q14,Pulley9-10-92,q14,Pulley_Post_Y2,2,q14a,the length of the sting is greater so the mechanical advantage is greater ,0
Pulley9-10-91_q3a,Pulley9-10-91,q3a,Pulley_Post_Y2,3,q3b,The string would be the same length as well as how far the watermelon was lifted.,0
Pulley9-10-91_q3c,Pulley9-10-91,q3c,Pulley_Post_Y2,1,q3d,Single movable pulleys require more applied force than single fixed.,0
Pulley9-10-91_q4,Pulley9-10-91,q4,Pulley_Post_Y2,1,q4a,There would be lesss friction which means less applied force.,2
Pulley9-10-91_q7a1,Pulley9-10-91,q7a1,Pulley_Post_Y2,1,q7a2,Movable pulleys use more force,0
Pulley9-10-91_q7b1,Pulley9-10-91,q7b1,Pulley_Post_Y2,3,q7b2,The watermelon and distance raised stay the same,2
Pulley9-10-91_q9,Pulley9-10-91,q9,Pulley_Post_Y2,3,q9a,The pulley is reducing the amount of applied force but the work is still staying the same,2
Pulley9-10-91_q10,Pulley9-10-91,q10,Pulley_Post_Y2,2,q10a,It will increase the friction.,2
Pulley9-10-91_q11,Pulley9-10-91,q11,Pulley_Post_Y2,2,q11a,The distance rises but the applied force stays the same and those two are multiplied to get the work so therefore the work would have gone up with the second pulley because of the longer distance and the applied force being the same because the weight and the pulley were the same.,2
Pulley9-10-91_q13,Pulley9-10-91,q13,Pulley_Post_Y2,4,q13a,The MA is calculated by distance the string is pulled divided by the distance the load moves so a doulbe compound pully has more pulleys so it would enlarge the MA.,1
Pulley9-10-91_q14,Pulley9-10-91,q14,Pulley_Post_Y2,2,q14a,There are more pulleys,0
Pulley9-10-90_q3a,Pulley9-10-90,q3a,Pulley_Post_Y2,3,q3b,the distance would stay the same they have the same amount of supporting strands,0
Pulley9-10-90_q3c,Pulley9-10-90,q3c,Pulley_Post_Y2,1,q3d,increase because the load is closer to the fulcrum,0
Pulley9-10-90_q4,Pulley9-10-90,q4,Pulley_Post_Y2,1,q4a,well-oiled because then there would be less friction so less applied force,2
Pulley9-10-90_q7a1,Pulley9-10-90,q7a1,Pulley_Post_Y2,1,q7a2,i don't remember,0
