student code,"q3a: You used a single fixed pulley to lift a watermelon to your tree house.  If you changed it to a single movable pulley and ignore the effects of friction, the distance pulled would:

Correct option = 1, ""Increase""",,q3b: Explain your reasoning about the distance pulled. ,q3b code,"q3c: the applied force required would: 

Correct option = 2, ""Decrease""",,q3d:Explain your reasoning about the applied force required. ,q3d code,"q4: Which of the following will require less applied force to lift a load to a height of 2 meters using a single fixed pulley? 

Correct option = 1, ""A well-oiled pulley""",,q4a: Explain your reasoning about the applied force required. ,q4a code,"q7a1: You used a single fixed pulley to lift a watermelon to your tree house.  If you used a single movable pulley instead and ignore the effects of friction, the applied force needed would: 

Correct option = 2, ""Decrease""",,q7a2: Explain your reasoning about the applied force needed.,q7a2 code,"q7b1: ...the work done would: 

Correct option = 3, ""Stay the same""",,q7b2: Explain your reasoning about the work done.,q7b2 code,"q9: Jane is lifting a box straight up to a height of 1 meter. Mary is using the pulley shown below to lift the same box to the same height.  If you ignore friction, what can you tell about the work done by Jane and Mary?

Correct option = 3, ""Jane and Mary are doing the same work""",,q9a: Explain your reasoning about the work done in this question.,q9a code,"q10: Which of the following will require more work to lift a load to a height of 2 meters if you are using a single fixed pulley? 

Correct option = 2, ""A rusty pulley that needs to be oiled""",,q10a: Explain your reasoning about the work required. ,q10a code,"q11: Jacob uses a fixed pulley to lift a box 1 meter. He then uses the same pulley to lift an identical box 2 meters. In which condition did Jacob do more work?

Correct option = 2, ""When lifting the box 2 meters""",,q11a: Explain your reasoning about the work done in this question.,q11a code,"q13: If you ignore friction, which one of the following pulley set-ups will give the most mechanical advantage?
 
Correct option =  4, ""A double compound pulley""",,q13a: Explain your reasoning about mechanical advantage in this question.,q13a code,"q14: If you ignore friction, which one of the following pulley set-ups will give more mechanical advantage?

Correct option = 3, ""Pulley set-up A and Pulley set-up B will give you the same mechanical advantage""",,q14a: Explain your reasoning about mechanical advantage in this question.,q14a code
Pulley9-10-99,1,Increase,"I said that the distance would increase because when you use a movable pulley the force always goes down... a single fixed pulley does not reduce the force, and when the force goes down, the distance goes up...",2,2,Decrease,"The applied force required would go down, because the distance is going up... we also learned that the single fixed pulley doesn't reduce force, so a single movable does, so that woould mean that the force would automatically decrease anyway...",2,1,A well-oiled pulley,"I say this, because when you have a rusty pulley, there is much more friction, so causes the force to go up, which cause the work to go up... A well oiled pulley will still have friction becasue there is never 0 friction, but there will be much less so that means the applied force will be much less...",2,2,Decrease,"The applied force needed would decrease because the distance is increasing, so that means the applied force has to decrease... We also learned that a single fixed pulley doesn't reduce force and that all of the other pulley systems do reduce force...",2,3,Stay the same,"The work done would stay the same becasue the distance pulled is less on the single fixed but more on the movable and on the fixed there is more force, but on the movable there is less force so it all cancels each other out... Here is an example, W= Fxd... 4=4x1 for the fixed, but for the movable it would be 4=1x4 so it all ends up being the same...",2,3,Jane and Mary are doing the same work,"Jane andd Mary are doing the same amount of work because the distance for Mary is more, but here force is less... And Jane's distance is less, but force is more... This shows that they end up canceling each other out and so they are the same though one is applying less force",2,2,A rusty pulley that needs to be oiled,A rusty pulley that needs to be oiled will require more force because there is a lot more friction... When the force goes up and the distance stays the same the work will always go up.... ,2,2,When lifting the box 2 meters,I said lifting the box to 2 meters becasue the distance pulled is going up (as you can see in the picture) but the force is staying the same since nothing else changed so that means that the work will go up... ,2,4,A double compound pulley,I say the double compound becasue MA is distance pulled divided by distance object moved so that means since they all are lifted to the same height its the one with the most pulley because that is the one you have to pull the farthest... ,2,2,Pulley set-up B,"I said this becasue the distance pulled willl go up for set up B and since the moved distance is most likely the same, that will mean the numerator is much greater than the denominator... ",0
Pulley9-10-98,1,Increase,adding a nother pully would make it need to be pulled father to lift but it would be easyer,0,2,Decrease,it would increas the ma making the applied force decreas,2,1,A well-oiled pulley,it would slide easyer and make it easyer to slide the string and it also matter in how many pully were used and if they were compound,1,1,Increase,the single movable pullys have less ma making the applied force increas,0,1,Increase,it could also be a very rusty pully making it harder to pull the watermelen up,0,4,Not enough information to decide,the pully could be a double triple or single compound increasing the ma,0,2,A rusty pulley that needs to be oiled,it would get stuck and be hard to pull,1,2,When lifting the box 2 meters,it is a higher hight making the work go up because you would do double the work,1,4,A double compound pulley,the double compound has more ma because if the single compound has 3 ma the double has 6,1,2,Pulley set-up B,if 1 pully has 1 ma then 2 pullys will have 2 ma,0
Pulley9-10-97,3,Stay the same,you are pulling it the same distance and the load is staying the same.,0,2,Decrease,with pulling it straight up you would not have to pull down you would pull harder than if you were pulling up.,0,1,A well-oiled pulley,the pulley is that is oiled 1 you dont have to pull hard to get it to work and with a pulley that is rusted you have to pull hard just to get it started and then have to keep pulling hard to get it to work.,1,3,Stay the same,you are lifting the load the same height and the load is staying the same.,0,3,Stay the same,you are lifting it the same height.,3,1,Jane is doing more work,you have it straight up and the other one you have it more at a slant.,0,2,A rusty pulley that needs to be oiled,you have to pull hard.,1,2,When lifting the box 2 meters,more work means good so then lifting it two meters is good.,0,4,A double compound pulley,with more supporting strands  more ma.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,they have the same number of support strands.,2
Pulley9-10-96,1,Increase,"The single movable would require less force, but more distance.",2,2,Decrease,Single movables require less applied force and more MA.,2,1,A well-oiled pulley,"A well-oiled pulley would reduce friction, reducing force, while a rusty pulley would increase it.",2,2,Decrease,"Without friction, it would decrease even more.",1,3,Stay the same,"Well, when applied force is reduced, the distance increases, so it should be about the same.",2,1,Jane is doing more work,"The compound pulley would require less work because, even though the distance is the same, the force would be reduced on the pulley.",0,1,A well-oiled pulley,"a well-oiled pulley would reduce the force, reducing the work.",2,2,When lifting the box 2 meters,The distance is greater.,1,4,A double compound pulley,"while using a double compound, the distance you pull the string is greatest, giving you the most MA.",2,1,Pulley set-up A,"A single fixed pulley would have the string pulled farther than a double fixed, giving more MA.",0
Pulley9-10-95,3,Stay the same,"the distance pulled will stay the same, you are just changing the pulley.",0,2,Decrease,The applied force will decrease because a moveable pulley requires less applied force.,1,4,Not enough information to decide,we didnt learn about rusty/oiled pulleys.,0,2,Decrease,this will decrease becasue the applied force for a movable pulley is less than a fixed.,1,3,Stay the same,the work will stay the same because work is always the same unless friction is involved.,1,3,Jane and Mary are doing the same work,work is always the same when there is no friciton.,1,4,Not enough information to decide,we did not learn about this. ,0,2,When lifting the box 2 meters,"there is more work done in this becasue he is pulling it a higher distance, but with the smae pulley.",1,4,A double compound pulley,this pulley will give the most machanical advantage because since it is a compound that means that it has the most string.....ect.,0,2,Pulley set-up B,pulley B will give off more machanical advantage because it has more than one pulley.,0
Pulley9-10-94,3,Stay the same,they are both pulleys,0,2,Decrease,in the science ex. we found out that a moveable pulley has lest applied force,1,1,A well-oiled pulley,"with the rust there will be more friction acoring to it and since the well-oiled pulley doesn't ruff stuff on it, it will be easyer",2,2,Decrease,its easyer to lift a watermelon with a single moveable pulley,1,3,Stay the same,they're doing the same job,2,3,Jane and Mary are doing the same work,they are doing the same job,2,3,Both pulleys will require the same work,they are doing tha same job,0,2,When lifting the box 2 meters,it went heigher than the other pulley,1,4,A double compound pulley,it has the most string which means more distance,1,2,Pulley set-up B,has more string which means more distance,0
Pulley9-10-93,1,Increase,It would increase because with a fized pulley nothing changed and with a movable pulley the numbers do change and the distance would increase. ,1,2,Decrease,The applied force would decrease because it would have more MA and it would have less work because with a fixed pulley the numbers do not change and with a movable pulley it changes and the numbers get better.,1,1,A well-oiled pulley,It will move easier so it will have the least amount of force.,1,1,Increase,The applied force would decrease because it would have more MA and it would have less work because with a fixed pulley the numbers do not change and with a movable pulley it changes and the numbers get better.,0,2,Decrease,The work would decrease because the force decreased and the MA would increase causing there to be less work required to left the watermelon to the treehouse.,0,1,Jane is doing more work,Jane is doing more work because when usong a pulley it uses the least amount of force so it would be easier and there wouldnt be as much work to do so jane is doing more work.,0,3,Both pulleys will require the same work,when you are using a fixed pulley the numbers do not change.,0,2,When lifting the box 2 meters,He did more work because he had to lift it higher up,1,4,A double compound pulley,It will give the most MA because it has the least amount of force.,1,2,Pulley set-up B,It will require the least amount of force so it will have a greater mechanical advantage ,0
Pulley9-10-92,3,Stay the same,same amount of string ,0,2,Decrease,the applied force would decrease,1,1,A well-oiled pulley,because the oil helps the pully move if there was no oil then the pulley wouldent move,1,2,Decrease,i think it will decrease because you will have to pull the pulley up ,0,3,Stay the same,it will stay the same because the load does not change,2,3,Jane and Mary are doing the same work,it will be the same because the load does not change,2,3,Both pulleys will require the same work,it will be the same because the load does not change,0,3,The amount of work done was the same,it will be the same because the load does not change,0,4,A double compound pulley,the mechanical advantage will be the most because all the strings balance the weight evenly  ,3,2,Pulley set-up B,the length of the sting is greater so the mechanical advantage is greater ,0
Pulley9-10-91,3,Stay the same,The string would be the same length as well as how far the watermelon was lifted.,0,1,Increase,Single movable pulleys require more applied force than single fixed.,0,1,A well-oiled pulley,There would be lesss friction which means less applied force.,2,1,Increase,Movable pulleys use more force,0,3,Stay the same,The watermelon and distance raised stay the same,2,3,Jane and Mary are doing the same work,The pulley is reducing the amount of applied force but the work is still staying the same,2,2,A rusty pulley that needs to be oiled,It will increase the friction.,2,2,When lifting the box 2 meters,The distance rises but the applied force stays the same and those two are multiplied to get the work so therefore the work would have gone up with the second pulley because of the longer distance and the applied force being the same because the weight and the pulley were the same.,2,4,A double compound pulley,The MA is calculated by distance the string is pulled divided by the distance the load moves so a doulbe compound pully has more pulleys so it would enlarge the MA.,1,2,Pulley set-up B,There are more pulleys,0
Pulley9-10-90,3,Stay the same,the distance would stay the same they have the same amount of supporting strands,0,1,Increase,increase because the load is closer to the fulcrum,0,1,A well-oiled pulley,well-oiled because then there would be less friction so less applied force,2,1,Increase,i don't remember,0,3,Stay the same,stay the same because there is no friction and the height lifted is the same,3,3,Jane and Mary are doing the same work,since there is no friction and height lifted is the same then work is the same,3,1,A well-oiled pulley,a well-oiled pulley because friction will be less so force will be less    a rusty pulley will have more friction so more applied force,2,2,When lifting the box 2 meters,because distance was more when lifting the box to 2 meters work is more,1,4,A double compound pulley,because since it has more supporting strands applied force is less so the distance pulled is more so mechanical advantage is more,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,they both have the same amount of supporting strands so applied force will be the same so distance pulled will be the same so ma will be the same,2
